,id,book_id,title,authors,decade_year,raw_authors,raw_year,image_url
52,55,5129,Brave New World,author_aldous_huxley,decade_1930s,Aldous Huxley,1932.0,https://images.gr-assets.com/books/1487389574m/5129.jpg
53,56,1162543,"Breaking Dawn (Twilight, #4)",author_stephenie_meyer,decade_2000s,Stephenie Meyer,2008.0,https://images.gr-assets.com/books/1361039438m/1162543.jpg
54,57,37435,The Secret Life of Bees,author_sue_monk_kidd,decade_2000s,Sue Monk Kidd,2001.0,https://images.gr-assets.com/books/1473454532m/37435.jpg
55,58,2956,The Adventures of Huckleberry Finn,author_mark_twain author_john_seelye author_guy_cardwell,decade_1880s,"Mark Twain, John Seelye, Guy Cardwell",1884.0,https://images.gr-assets.com/books/1405973850m/2956.jpg
56,59,24178,Charlotte's Web,author_eb_white author_garth_williams author_rosemary_wells,decade_1950s,"E.B. White, Garth Williams, Rosemary Wells",1952.0,https://images.gr-assets.com/books/1439632243m/24178.jpg
57,60,1618,The Curious Incident of the Dog in the Night-Time,author_mark_haddon,decade_2000s,Mark Haddon,2003.0,https://images.gr-assets.com/books/1479863624m/1618.jpg
58,61,22557272,The Girl on the Train,author_paula_hawkins,decade_2010s,Paula Hawkins,2015.0,https://images.gr-assets.com/books/1490903702m/22557272.jpg
59,62,119322,"The Golden Compass (His Dark Materials, #1)",author_philip_pullman,decade_1990s,Philip Pullman,1995.0,https://images.gr-assets.com/books/1451271747m/119322.jpg
60,63,6185,Wuthering Heights,author_emily_bront author_richard_j_dunn,decade_1840s,"Emily Brontë, Richard J. Dunn",1847.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
61,64,10917,My Sister's Keeper,author_jodi_picoult,decade_2000s,Jodi Picoult,2004.0,https://images.gr-assets.com/books/1369504683m/10917.jpg
62,65,4981,Slaughterhouse-Five,author_kurt_vonnegut_jr,decade_1960s,Kurt Vonnegut Jr.,1969.0,https://images.gr-assets.com/books/1440319389m/4981.jpg
63,66,18405,Gone with the Wind,author_margaret_mitchell,decade_1930s,Margaret Mitchell,1936.0,https://images.gr-assets.com/books/1328025229m/18405.jpg
64,67,128029,A Thousand Splendid Suns,author_khaled_hosseini,decade_2000s,Khaled Hosseini,2007.0,https://images.gr-assets.com/books/1345958969m/128029.jpg
65,68,22628,The Perks of Being a Wallflower,author_stephen_chbosky,decade_1990s,Stephen Chbosky,1999.0,https://images.gr-assets.com/books/1167352178m/22628.jpg
66,69,11735983,"Insurgent (Divergent, #2)",author_veronica_roth,decade_2010s,Veronica Roth,2012.0,https://images.gr-assets.com/books/1325667729m/11735983.jpg
67,70,375802,"Ender's Game (Ender's Saga, #1)",author_orson_scott_card,decade_1980s,Orson Scott Card,1985.0,https://images.gr-assets.com/books/1408303130m/375802.jpg
68,71,18490,Frankenstein,author_mary_wollstonecraft_shelley author_percy_bysshe_shelley author_maurice_hindle,decade_1810s,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,https://images.gr-assets.com/books/1381512375m/18490.jpg
69,72,11588,The Shining (The Shining #1),author_stephen_king,decade_1970s,Stephen King,1977.0,https://images.gr-assets.com/books/1353277730m/11588.jpg
70,73,1656001,"The Host (The Host, #1)",author_stephenie_meyer,decade_2000s,Stephenie Meyer,2008.0,https://images.gr-assets.com/books/1318009171m/1656001.jpg
71,74,99561,Looking for Alaska,author_john_green,decade_2000s,John Green,2005.0,https://images.gr-assets.com/books/1394798630m/99561.jpg
72,75,227443,"Bridget Jones's Diary (Bridget Jones, #1)",author_helen_fielding,decade_1990s,Helen Fielding,1996.0,https://images.gr-assets.com/books/1292060045m/227443.jpg
73,76,14935,Sense and Sensibility,author_jane_austen author_tony_tanner author_ros_ballaster,decade_1810s,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,https://images.gr-assets.com/books/1397245675m/14935.jpg
74,77,38709,"Holes (Holes, #1)",author_louis_sachar author_louis_sachar,decade_1990s,"Louis Sachar, Louis Sachar",1998.0,https://images.gr-assets.com/books/1327781893m/38709.jpg
75,78,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",author_lauren_weisberger,decade_2000s,Lauren Weisberger,2003.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
76,79,1381,The Odyssey,author_homer author_robert_fagles author_ev_rieu author_frdric_mugler author_bernard_knox,decade_0s,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,https://images.gr-assets.com/books/1390173285m/1381.jpg
77,80,157993,The Little Prince,author_antoine_de_saintexupry author_richard_howard author_dom_marcos_barbosa author_melina_karakosta,decade_1940s,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,https://images.gr-assets.com/books/1367545443m/157993.jpg
78,81,7445,The Glass Castle,author_jeannette_walls,decade_2000s,Jeannette Walls,2005.0,https://images.gr-assets.com/books/1400930557m/7445.jpg
79,82,1845,Into the Wild,author_jon_krakauer,decade_1990s,Jon Krakauer,1996.0,https://images.gr-assets.com/books/1403173986m/1845.jpg
80,83,1953,A Tale of Two Cities,author_charles_dickens author_richard_maxwell author_hablot_knight_browne,decade_1850s,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,https://images.gr-assets.com/books/1344922523m/1953.jpg
81,85,370493,The Giving Tree,author_shel_silverstein,decade_1960s,Shel Silverstein,1964.0,https://images.gr-assets.com/books/1174210942m/370493.jpg
82,86,32542,A Time to Kill,author_john_grisham,decade_1980s,John Grisham,1989.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
83,87,1617,Night (The Night Trilogy #1),author_elie_wiesel author_marion_wiesel,decade_1950s,"Elie Wiesel, Marion Wiesel",1958.0,https://images.gr-assets.com/books/1473495285m/1617.jpg
84,88,6442769,Paper Towns,author_john_green,decade_2000s,John Green,2008.0,https://images.gr-assets.com/books/1349013610m/6442769.jpg
85,89,21787,The Princess Bride ,author_william_goldman,decade_1970s,William Goldman,1973.0,https://images.gr-assets.com/books/1327903636m/21787.jpg
86,90,231804,The Outsiders,author_se_hinton,decade_1960s,S.E. Hinton,1967.0,https://images.gr-assets.com/books/1442129426m/231804.jpg
87,91,6186357,"The Maze Runner (Maze Runner, #1)",author_james_dashner,decade_2000s,James Dashner,2009.0,https://images.gr-assets.com/books/1375596592m/6186357.jpg
88,92,1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",author_steven_d_levitt author_stephen_j_dubner,decade_2000s,"Steven D. Levitt, Stephen J. Dubner",2005.0,https://images.gr-assets.com/books/1327909092m/1202.jpg
89,93,2998,The Secret Garden,author_frances_hodgson_burnett,decade_1910s,Frances Hodgson Burnett,1911.0,https://images.gr-assets.com/books/1327873635m/2998.jpg
90,94,320,One Hundred Years of Solitude,author_gabriel_garca_mrquez author_gregory_rabassa,decade_1960s,"Gabriel García Márquez, Gregory Rabassa",1967.0,https://images.gr-assets.com/books/1327881361m/320.jpg
91,95,5297,The Picture of Dorian Gray,author_oscar_wilde author_jeffrey_eugenides,decade_1890s,"Oscar Wilde, Jeffrey Eugenides",1891.0,https://images.gr-assets.com/books/1424596966m/5297.jpg
92,96,13536860,"Fifty Shades Freed (Fifty Shades, #3)",author_el_james,decade_2010s,E.L. James,2012.0,https://images.gr-assets.com/books/1336418837m/13536860.jpg
93,97,17245,Dracula,author_bram_stoker author_nina_auerbach author_david_j_skal,decade_1890s,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,https://images.gr-assets.com/books/1387151694m/17245.jpg
94,98,5060378,"The Girl Who Played with Fire (Millennium, #2)",author_stieg_larsson author_reg_keeland,decade_2000s,"Stieg Larsson, Reg Keeland",2006.0,https://images.gr-assets.com/books/1351778881m/5060378.jpg
95,99,11857408,"Fifty Shades Darker (Fifty Shades, #2)",author_el_james,decade_2010s,E.L. James,2011.0,https://images.gr-assets.com/books/1358266080m/11857408.jpg
96,100,7244,The Poisonwood Bible,author_barbara_kingsolver,decade_1990s,Barbara Kingsolver,1998.0,https://images.gr-assets.com/books/1412242487m/7244.jpg
97,101,4137,Me Talk Pretty One Day,author_david_sedaris,decade_2000s,David Sedaris,2000.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
98,102,19543,Where the Wild Things Are,author_maurice_sendak,decade_1960s,Maurice Sendak,1963.0,https://images.gr-assets.com/books/1384434560m/19543.jpg
99,103,7126,The Count of Monte Cristo,author_alexandre_dumas author_robin_buss,decade_1840s,"Alexandre Dumas, Robin Buss",1844.0,https://images.gr-assets.com/books/1309203605m/7126.jpg
100,104,6288,The Road,author_cormac_mccarthy,decade_2000s,Cormac McCarthy,2006.0,https://images.gr-assets.com/books/1439197219m/6288.jpg
101,105,18710190,"Allegiant (Divergent, #3)",author_veronica_roth,decade_2010s,Veronica Roth,2013.0,https://images.gr-assets.com/books/1395582745m/18710190.jpg
102,106,9418327,Bossypants,author_tina_fey,decade_2010s,Tina Fey,2011.0,https://images.gr-assets.com/books/1481509554m/9418327.jpg
103,107,3473,A Walk to Remember,author_nicholas_sparks,decade_1990s,Nicholas Sparks,1999.0,https://images.gr-assets.com/books/1385738968m/3473.jpg
104,108,9416,"Confessions of a Shopaholic (Shopaholic, #1)",author_sophie_kinsella,decade_2000s,Sophie Kinsella,2000.0,https://images.gr-assets.com/books/1327872404m/9416.jpg
105,109,24280,Les Misérables,author_victor_hugo author_lee_fahnestock author_norman_macafee,decade_1860s,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,https://images.gr-assets.com/books/1411852091m/24280.jpg
106,110,10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",author_george_rr_martin,decade_1990s,George R.R. Martin,1998.0,https://images.gr-assets.com/books/1358254974m/10572.jpg
107,111,10441,The Memory Keeper's Daughter,author_kim_edwards,decade_2000s,Kim Edwards,2005.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
108,112,15507958,"Me Before You (Me Before You, #1)",author_jojo_moyes,decade_2010s,Jojo Moyes,2012.0,https://images.gr-assets.com/books/1357108762m/15507958.jpg
109,113,168668,Catch-22,author_joseph_heller,decade_1960s,Joseph Heller,1961.0,https://images.gr-assets.com/books/1463157317m/168668.jpg
110,114,6900,Tuesdays with Morrie,author_mitch_albom author_saulius_dagys,decade_1990s,"Mitch Albom, Saulius Dagys",1997.0,https://images.gr-assets.com/books/1423763749m/6900.jpg
111,115,2187,Middlesex,author_jeffrey_eugenides,decade_2000s,Jeffrey Eugenides,2002.0,https://images.gr-assets.com/books/1437029776m/2187.jpg
112,116,24583,The Adventures of Tom Sawyer,author_mark_twain author_guy_cardwell author_john_seelye,decade_1870s,"Mark Twain, Guy Cardwell, John Seelye",1876.0,https://images.gr-assets.com/books/1404811979m/24583.jpg
113,117,18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",author_madeleine_lengle,decade_1960s,Madeleine L'Engle,1962.0,https://images.gr-assets.com/books/1329061522m/18131.jpg
114,118,7763,The Joy Luck Club,author_amy_tan,decade_1980s,Amy Tan,1989.0,https://images.gr-assets.com/books/1304978653m/7763.jpg
115,119,38447,The Handmaid's Tale,author_margaret_atwood,decade_1980s,Margaret Atwood,1985.0,https://images.gr-assets.com/books/1498057733m/38447.jpg
116,120,452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",author_ann_brashares,decade_2000s,Ann Brashares,2001.0,https://images.gr-assets.com/books/1461611233m/452306.jpg
117,121,7604,Lolita,author_vladimir_nabokov author_craig_raine,decade_1950s,"Vladimir Nabokov, Craig Raine",1955.0,https://images.gr-assets.com/books/1377756377m/7604.jpg
118,122,37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",author_gregory_maguire author_douglas_smith,decade_1990s,"Gregory Maguire, Douglas Smith",1995.0,https://images.gr-assets.com/books/1437733293m/37442.jpg
119,123,5358,"The Firm (Penguin Readers, Level 5)",author_john_grisham,decade_1990s,John Grisham,1991.0,https://images.gr-assets.com/books/1418465200m/5358.jpg
120,124,7937843,Room,author_emma_donoghue,decade_2010s,Emma Donoghue,2010.0,https://images.gr-assets.com/books/1344265419m/7937843.jpg
121,125,1420,Hamlet,author_william_shakespeare author_richard_andrews author_rex_gibson,decade_1600s,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,https://images.gr-assets.com/books/1351051208m/1420.jpg
122,126,234225,Dune (Dune Chronicles #1),author_frank_herbert,decade_1960s,Frank Herbert,1965.0,https://images.gr-assets.com/books/1434908555m/234225.jpg
123,127,2612,The Tipping Point: How Little Things Can Make a Big Difference,author_malcolm_gladwell,decade_2000s,Malcolm Gladwell,2000.0,https://images.gr-assets.com/books/1473396980m/2612.jpg
124,128,11084145,Steve Jobs,author_walter_isaacson,decade_2010s,Walter Isaacson,2011.0,https://images.gr-assets.com/books/1327861368m/11084145.jpg
125,129,332613,One Flew Over the Cuckoo's Nest,author_ken_kesey,decade_1960s,Ken Kesey,1962.0,https://images.gr-assets.com/books/1485308778m/332613.jpg
126,130,2165,The Old Man and the Sea,author_ernest_hemingway,decade_1950s,Ernest Hemingway,1952.0,https://images.gr-assets.com/books/1329189714m/2165.jpg
127,131,4395,The Grapes of Wrath,author_john_steinbeck,decade_1930s,John Steinbeck,1939.0,https://images.gr-assets.com/books/1352912927m/4395.jpg
128,133,8127,"Anne of Green Gables (Anne of Green Gables, #1)",author_lm_montgomery,decade_1900s,L.M. Montgomery,1908.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
129,134,3777732,"City of Glass (The Mortal Instruments, #3)",author_cassandra_clare,decade_2000s,Cassandra Clare,2009.0,https://images.gr-assets.com/books/1369452339m/3777732.jpg
130,135,62291,"A Storm of Swords (A Song of Ice and Fire, #3)",author_george_rr_martin,decade_2000s,George R.R. Martin,2000.0,https://images.gr-assets.com/books/1497931121m/62291.jpg
131,136,137791,Divine Secrets of the Ya-Ya Sisterhood,author_rebecca_wells,decade_1990s,Rebecca Wells,1996.0,https://images.gr-assets.com/books/1408313524m/137791.jpg
132,137,10964,"Outlander (Outlander, #1)",author_diana_gabaldon,decade_1990s,Diana Gabaldon,1991.0,https://images.gr-assets.com/books/1402600310m/10964.jpg
133,138,12296,The Scarlet Letter,author_nathaniel_hawthorne author_thomas_e_connolly author_nina_baym,decade_1850s,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,https://images.gr-assets.com/books/1404810944m/12296.jpg
134,139,9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",author_ransom_riggs,decade_2010s,Ransom Riggs,2011.0,https://images.gr-assets.com/books/1472782916m/9460487.jpg
135,140,6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",author_stieg_larsson author_reg_keeland,decade_2000s,"Stieg Larsson, Reg Keeland",2007.0,https://images.gr-assets.com/books/1327708260m/6892870.jpg
136,141,18007564,The Martian,author_andy_weir,decade_2010s,Andy Weir,2012.0,https://images.gr-assets.com/books/1413706054m/18007564.jpg
137,142,5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",author_ken_follett,decade_1980s,Ken Follett,1989.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
138,143,18143977,All the Light We Cannot See,author_anthony_doerr,decade_2010s,Anthony Doerr,2014.0,https://images.gr-assets.com/books/1451445646m/18143977.jpg
139,144,8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",author_laura_hillenbrand,decade_2010s,Laura Hillenbrand,2010.0,https://images.gr-assets.com/books/1327861115m/8664353.jpg
140,145,976,Deception Point,author_dan_brown,decade_2000s,Dan Brown,2001.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
141,146,17333223,The Goldfinch,author_donna_tartt,decade_2010s,Donna Tartt,2013.0,https://images.gr-assets.com/books/1451554970m/17333223.jpg
142,147,1217100,Thirteen Reasons Why,author_jay_asher,decade_2000s,Jay Asher,2007.0,https://images.gr-assets.com/books/1333822506m/1217100.jpg
143,148,2865,Girl with a Pearl Earring,author_tracy_chevalier,decade_1990s,Tracy Chevalier,1999.0,https://images.gr-assets.com/books/1327197580m/2865.jpg
144,149,4374400,"If I Stay (If I Stay, #1)",author_gayle_forman,decade_2000s,Gayle Forman,2009.0,https://images.gr-assets.com/books/1347462970m/4374400.jpg
145,150,4989,The Red Tent,author_anita_diamant,decade_1990s,Anita Diamant,1997.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,151,28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",author_rick_riordan,decade_2000s,Rick Riordan,2006.0,https://images.gr-assets.com/books/1400602661m/28186.jpg
147,152,5526,Dear John,author_nicholas_sparks,decade_2000s,Nicholas Sparks,2006.0,https://images.gr-assets.com/books/1397749854m/5526.jpg
148,153,1582996,"City of Ashes (The Mortal Instruments, #2)",author_cassandra_clare,decade_2000s,Cassandra Clare,2008.0,https://images.gr-assets.com/books/1432730356m/1582996.jpg
149,154,8852,Macbeth,author_william_shakespeare,decade_1600s,William Shakespeare,1606.0,https://images.gr-assets.com/books/1459795224m/8852.jpg
150,155,15241,"The Two Towers (The Lord of the Rings, #2)",author_jrr_tolkien,decade_1950s,J.R.R. Tolkien,1954.0,https://images.gr-assets.com/books/1298415523m/15241.jpg
151,156,42156,"Something Borrowed (Darcy & Rachel, #1)",author_emily_giffin,decade_2000s,Emily Giffin,2004.0,https://images.gr-assets.com/books/1305063535m/42156.jpg
152,157,23772,Green Eggs and Ham,author_dr_seuss author__,decade_1960s,"Dr. Seuss, לאה נאור",1960.0,https://images.gr-assets.com/books/1468680100m/23772.jpg
153,158,6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",author_roald_dahl author_quentin_blake,decade_1960s,"Roald Dahl, Quentin Blake",1964.0,https://images.gr-assets.com/books/1309211401m/6310.jpg
154,159,2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",author_rick_riordan,decade_2000s,Rick Riordan,2008.0,https://images.gr-assets.com/books/1443142158m/2120932.jpg
155,160,2623,Great Expectations,author_charles_dickens,decade_1860s,Charles Dickens,1860.0,https://images.gr-assets.com/books/1327920219m/2623.jpg
