,id,book_id,title,authors,decade_year
29,30,8442457,Gone Girl,author_gillian_flynn,decade_2010s
30,31,4667024,The Help,author_kathryn_stockett,decade_2000s
31,32,890,Of Mice and Men,author_john_steinbeck,decade_1930s
32,33,930,Memoirs of a Geisha,author_arthur_golden,decade_1990s
33,34,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",author_el_james,decade_2010s
34,35,865,The Alchemist,author_paulo_coelho author_alan_r_clarke,decade_1980s
35,36,3636,"The Giver (The Giver, #1)",author_lois_lowry,decade_1990s
36,37,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",author_cs_lewis,decade_1950s
37,38,14050,The Time Traveler's Wife,author_audrey_niffenegger,decade_2000s
38,39,13496,"A Game of Thrones (A Song of Ice and Fire, #1)",author_george_rr_martin,decade_1990s
39,40,19501,"Eat, Pray, Love",author_elizabeth_gilbert,decade_2000s
40,41,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",author_rick_riordan,decade_2000s
41,42,1934,"Little Women (Little Women, #1)",author_louisa_may_alcott,decade_1860s
42,43,10210,Jane Eyre,author_charlotte_bront author_michael_mason,decade_1840s
43,44,15931,"The Notebook (The Notebook, #1)",author_nicholas_sparks,decade_1990s
45,46,43641,Water for Elephants,author_sara_gruen,decade_2000s
46,47,19063,The Book Thief,author_markus_zusak,decade_2000s
48,49,49041,"New Moon (Twilight, #2)",author_stephenie_meyer,decade_2000s
49,50,30119,Where the Sidewalk Ends,author_shel_silverstein,decade_1970s
50,51,256683,"City of Bones (The Mortal Instruments, #1)",author_cassandra_clare,decade_2000s
51,52,428263,"Eclipse (Twilight, #3)",author_stephenie_meyer,decade_2000s
52,53,113436,"Eragon (The Inheritance Cycle, #1)",author_christopher_paolini,decade_2000s
53,54,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",author_douglas_adams,decade_1970s
54,55,5129,Brave New World,author_aldous_huxley,decade_1930s
55,56,1162543,"Breaking Dawn (Twilight, #4)",author_stephenie_meyer,decade_2000s
56,57,37435,The Secret Life of Bees,author_sue_monk_kidd,decade_2000s
57,58,2956,The Adventures of Huckleberry Finn,author_mark_twain author_john_seelye author_guy_cardwell,decade_1880s
58,59,24178,Charlotte's Web,author_eb_white author_garth_williams author_rosemary_wells,decade_1950s
59,60,1618,The Curious Incident of the Dog in the Night-Time,author_mark_haddon,decade_2000s
60,61,22557272,The Girl on the Train,author_paula_hawkins,decade_2010s
61,62,119322,"The Golden Compass (His Dark Materials, #1)",author_philip_pullman,decade_1990s
62,63,6185,Wuthering Heights,author_emily_bront author_richard_j_dunn,decade_1840s
63,64,10917,My Sister's Keeper,author_jodi_picoult,decade_2000s
64,65,4981,Slaughterhouse-Five,author_kurt_vonnegut_jr,decade_1960s
65,66,18405,Gone with the Wind,author_margaret_mitchell,decade_1930s
66,67,128029,A Thousand Splendid Suns,author_khaled_hosseini,decade_2000s
67,68,22628,The Perks of Being a Wallflower,author_stephen_chbosky,decade_1990s
68,69,11735983,"Insurgent (Divergent, #2)",author_veronica_roth,decade_2010s
69,70,375802,"Ender's Game (Ender's Saga, #1)",author_orson_scott_card,decade_1980s
70,71,18490,Frankenstein,author_mary_wollstonecraft_shelley author_percy_bysshe_shelley author_maurice_hindle,decade_1810s
71,72,11588,The Shining (The Shining #1),author_stephen_king,decade_1970s
72,73,1656001,"The Host (The Host, #1)",author_stephenie_meyer,decade_2000s
73,74,99561,Looking for Alaska,author_john_green,decade_2000s
74,75,227443,"Bridget Jones's Diary (Bridget Jones, #1)",author_helen_fielding,decade_1990s
75,76,14935,Sense and Sensibility,author_jane_austen author_tony_tanner author_ros_ballaster,decade_1810s
76,77,38709,"Holes (Holes, #1)",author_louis_sachar author_louis_sachar,decade_1990s
77,78,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",author_lauren_weisberger,decade_2000s
78,79,1381,The Odyssey,author_homer author_robert_fagles author_ev_rieu author_frdric_mugler author_bernard_knox,decade_0s
79,80,157993,The Little Prince,author_antoine_de_saintexupry author_richard_howard author_dom_marcos_barbosa author_melina_karakosta,decade_1940s
80,81,7445,The Glass Castle,author_jeannette_walls,decade_2000s
81,82,1845,Into the Wild,author_jon_krakauer,decade_1990s
82,83,1953,A Tale of Two Cities,author_charles_dickens author_richard_maxwell author_hablot_knight_browne,decade_1850s
84,85,370493,The Giving Tree,author_shel_silverstein,decade_1960s
85,86,32542,A Time to Kill,author_john_grisham,decade_1980s
86,87,1617,Night (The Night Trilogy #1),author_elie_wiesel author_marion_wiesel,decade_1950s
87,88,6442769,Paper Towns,author_john_green,decade_2000s
88,89,21787,The Princess Bride ,author_william_goldman,decade_1970s
89,90,231804,The Outsiders,author_se_hinton,decade_1960s
90,91,6186357,"The Maze Runner (Maze Runner, #1)",author_james_dashner,decade_2000s
91,92,1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",author_steven_d_levitt author_stephen_j_dubner,decade_2000s
92,93,2998,The Secret Garden,author_frances_hodgson_burnett,decade_1910s
93,94,320,One Hundred Years of Solitude,author_gabriel_garca_mrquez author_gregory_rabassa,decade_1960s
94,95,5297,The Picture of Dorian Gray,author_oscar_wilde author_jeffrey_eugenides,decade_1890s
95,96,13536860,"Fifty Shades Freed (Fifty Shades, #3)",author_el_james,decade_2010s
96,97,17245,Dracula,author_bram_stoker author_nina_auerbach author_david_j_skal,decade_1890s
97,98,5060378,"The Girl Who Played with Fire (Millennium, #2)",author_stieg_larsson author_reg_keeland,decade_2000s
98,99,11857408,"Fifty Shades Darker (Fifty Shades, #2)",author_el_james,decade_2010s
99,100,7244,The Poisonwood Bible,author_barbara_kingsolver,decade_1990s
100,101,4137,Me Talk Pretty One Day,author_david_sedaris,decade_2000s
101,102,19543,Where the Wild Things Are,author_maurice_sendak,decade_1960s
102,103,7126,The Count of Monte Cristo,author_alexandre_dumas author_robin_buss,decade_1840s
103,104,6288,The Road,author_cormac_mccarthy,decade_2000s
104,105,18710190,"Allegiant (Divergent, #3)",author_veronica_roth,decade_2010s
105,106,9418327,Bossypants,author_tina_fey,decade_2010s
106,107,3473,A Walk to Remember,author_nicholas_sparks,decade_1990s
107,108,9416,"Confessions of a Shopaholic (Shopaholic, #1)",author_sophie_kinsella,decade_2000s
108,109,24280,Les Misérables,author_victor_hugo author_lee_fahnestock author_norman_macafee,decade_1860s
109,110,10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",author_george_rr_martin,decade_1990s
110,111,10441,The Memory Keeper's Daughter,author_kim_edwards,decade_2000s
111,112,15507958,"Me Before You (Me Before You, #1)",author_jojo_moyes,decade_2010s
112,113,168668,Catch-22,author_joseph_heller,decade_1960s
113,114,6900,Tuesdays with Morrie,author_mitch_albom author_saulius_dagys,decade_1990s
114,115,2187,Middlesex,author_jeffrey_eugenides,decade_2000s
115,116,24583,The Adventures of Tom Sawyer,author_mark_twain author_guy_cardwell author_john_seelye,decade_1870s
116,117,18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",author_madeleine_lengle,decade_1960s
117,118,7763,The Joy Luck Club,author_amy_tan,decade_1980s
118,119,38447,The Handmaid's Tale,author_margaret_atwood,decade_1980s
119,120,452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",author_ann_brashares,decade_2000s
120,121,7604,Lolita,author_vladimir_nabokov author_craig_raine,decade_1950s
121,122,37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",author_gregory_maguire author_douglas_smith,decade_1990s
122,123,5358,"The Firm (Penguin Readers, Level 5)",author_john_grisham,decade_1990s
123,124,7937843,Room,author_emma_donoghue,decade_2010s
124,125,1420,Hamlet,author_william_shakespeare author_richard_andrews author_rex_gibson,decade_1600s
125,126,234225,Dune (Dune Chronicles #1),author_frank_herbert,decade_1960s
126,127,2612,The Tipping Point: How Little Things Can Make a Big Difference,author_malcolm_gladwell,decade_2000s
127,128,11084145,Steve Jobs,author_walter_isaacson,decade_2010s
128,129,332613,One Flew Over the Cuckoo's Nest,author_ken_kesey,decade_1960s
129,130,2165,The Old Man and the Sea,author_ernest_hemingway,decade_1950s
130,131,4395,The Grapes of Wrath,author_john_steinbeck,decade_1930s
132,133,8127,"Anne of Green Gables (Anne of Green Gables, #1)",author_lm_montgomery,decade_1900s
133,134,3777732,"City of Glass (The Mortal Instruments, #3)",author_cassandra_clare,decade_2000s
134,135,62291,"A Storm of Swords (A Song of Ice and Fire, #3)",author_george_rr_martin,decade_2000s
135,136,137791,Divine Secrets of the Ya-Ya Sisterhood,author_rebecca_wells,decade_1990s
136,137,10964,"Outlander (Outlander, #1)",author_diana_gabaldon,decade_1990s
137,138,12296,The Scarlet Letter,author_nathaniel_hawthorne author_thomas_e_connolly author_nina_baym,decade_1850s
138,139,9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",author_ransom_riggs,decade_2010s
139,140,6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",author_stieg_larsson author_reg_keeland,decade_2000s
140,141,18007564,The Martian,author_andy_weir,decade_2010s
141,142,5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",author_ken_follett,decade_1980s
142,143,18143977,All the Light We Cannot See,author_anthony_doerr,decade_2010s
143,144,8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",author_laura_hillenbrand,decade_2010s
144,145,976,Deception Point,author_dan_brown,decade_2000s
145,146,17333223,The Goldfinch,author_donna_tartt,decade_2010s
146,147,1217100,Thirteen Reasons Why,author_jay_asher,decade_2000s
147,148,2865,Girl with a Pearl Earring,author_tracy_chevalier,decade_1990s
148,149,4374400,"If I Stay (If I Stay, #1)",author_gayle_forman,decade_2000s
149,150,4989,The Red Tent,author_anita_diamant,decade_1990s
150,151,28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",author_rick_riordan,decade_2000s
151,152,5526,Dear John,author_nicholas_sparks,decade_2000s
152,153,1582996,"City of Ashes (The Mortal Instruments, #2)",author_cassandra_clare,decade_2000s
153,154,8852,Macbeth,author_william_shakespeare,decade_1600s
154,155,15241,"The Two Towers (The Lord of the Rings, #2)",author_jrr_tolkien,decade_1950s
155,156,42156,"Something Borrowed (Darcy & Rachel, #1)",author_emily_giffin,decade_2000s
156,157,23772,Green Eggs and Ham,author_dr_seuss author__,decade_1960s
157,158,6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",author_roald_dahl author_quentin_blake,decade_1960s
158,159,2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",author_rick_riordan,decade_2000s
159,160,2623,Great Expectations,author_charles_dickens,decade_1860s
160,161,18512,"The Return of the King (The Lord of the Rings, #3)",author_jrr_tolkien,decade_1950s
161,162,49552,The Stranger,author_albert_camus author_matthew____ward,decade_1940s
162,163,7736182,"The Lost Hero (The Heroes of Olympus, #1)",author_rick_riordan,decade_2010s
163,164,15745753,Eleanor & Park,author_rainbow_rowell,decade_2010s
164,165,13497,"A Feast for Crows (A Song of Ice and Fire, #4)",author_george_rr_martin,decade_2000s
165,166,7735333,"Matched (Matched, #1)",author_ally_condie,decade_2010s
166,167,4407,"American Gods (American Gods, #1)",author_neil_gaiman,decade_2000s
167,168,149267,The Stand,author_stephen_king author_bernie_wrightson,decade_1970s
168,169,6400090,The Last Song,author_nicholas_sparks,decade_2000s
169,170,11125,Digital Fortress,author_dan_brown,decade_1990s
170,171,6969,Emma,author_jane_austen author_fiona_stafford,decade_1810s
171,172,15823480,Anna Karenina,author_leo_tolstoy author_louise_maude author_leo_tolstoj author_aylmer_maude,decade_1870s
172,173,227463,A Clockwork Orange,author_anthony_burgess,decade_1960s
173,174,1812457,The Shack,author_william_paul_young,decade_2000s
174,175,4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",author_rick_riordan,decade_2000s
175,176,18342,It,author_stephen_king,decade_1980s
176,177,7144,Crime and Punishment,author_fyodor_dostoyevsky author_david_mcduff,decade_1860s
177,178,6514,The Bell Jar,author_sylvia_plath,decade_1960s
178,179,252577,"Angela's Ashes (Frank McCourt, #1)",author_frank_mccourt,decade_1990s
179,180,52036,Siddhartha,author_hermann_hesse author_hilda_rosner,decade_1920s
180,181,168642,In Cold Blood,author_truman_capote,decade_1960s
181,182,6304335,"Beautiful Creatures (Caster Chronicles, #1)",author_kami_garcia author_margaret_stohl,decade_2000s
182,183,7171637,"Clockwork Angel (The Infernal Devices, #1)",author_cassandra_clare,decade_2010s
183,184,39988,Matilda,author_roald_dahl author_quentin_blake,decade_1980s
184,185,9361589,The Night Circus,author_erin_morgenstern,decade_2010s
185,186,37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",author_philippa_gregory,decade_2000s
186,187,24770,"Uglies (Uglies, #1)",author_scott_westerfeld,decade_2000s
187,188,10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",author_george_rr_martin,decade_2010s
188,189,33,"The Lord of the Rings (The Lord of the Rings, #1-3)",author_jrr_tolkien,decade_1950s
189,190,12262741,Wild: From Lost to Found on the Pacific Crest Trail,author_cheryl_strayed,decade_2010s
190,191,472331,Watchmen,author_alan_moore author_dave_gibbons author_john_higgins,decade_1980s
191,192,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",author_patrick_rothfuss,decade_2000s
192,193,3228917,Outliers: The Story of Success,author_malcolm_gladwell,decade_2000s
193,194,153747,"Moby-Dick or, The Whale",author_herman_melville author_andrew_delbanco author_tom_quirk,decade_1850s
194,195,2728527,The Guernsey Literary and Potato Peel Pie Society,author_mary_ann_shaffer author_annie_barrows,decade_2000s
195,196,5759,Fight Club,author_chuck_palahniuk,decade_1990s
196,197,301082,"Dead Until Dark (Sookie Stackhouse, #1)",author_charlaine_harris,decade_2000s
197,198,11486,The Color Purple,author_alice_walker,decade_1980s
198,199,12691,Marley and Me: Life and Love With the World's Worst Dog,author_john_grogan,decade_2000s
199,200,16299,And Then There Were None,author_agatha_christie,decade_1930s
200,201,6411961,"The Lost Symbol (Robert Langdon, #3)",author_dan_brown,decade_2000s
201,202,6339664,"Hush, Hush (Hush, Hush, #1)",author_becca_fitzpatrick,decade_2000s
202,203,11505797,"Beautiful Disaster (Beautiful, #1)",author_jamie_mcguire,decade_2010s
204,205,43763,"Interview with the Vampire (The Vampire Chronicles, #1)",author_anne_rice,decade_1970s
205,206,10507293,"The Selection (The Selection, #1)",author_kiera_cass,decade_2010s
206,207,6853,"One for the Money (Stephanie Plum, #1)",author_janet_evanovich,decade_1990s
207,208,6493208,The Immortal Life of Henrietta Lacks,author_rebecca_skloot,decade_2010s
208,209,23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",author_thomas_harris,decade_1980s
209,210,345627,"Vampire Academy (Vampire Academy, #1)",author_richelle_mead,decade_2000s
210,211,40102,Blink: The Power of Thinking Without Thinking,author_malcolm_gladwell,decade_2000s
211,212,6867,Atonement,author_ian_mcewan,decade_2000s
212,213,485894,The Metamorphosis,author_franz_kafka author_stanley_corngold,decade_1910s
213,214,561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",author_rick_riordan,decade_2000s
214,215,9969571,Ready Player One,author_ernest_cline,decade_2010s
215,216,3153910,The Art of Racing in the Rain,author_garth_stein,decade_2000s
216,217,21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",author_erik_larson author_tony_goldwyn,decade_2000s
217,218,13572249,"Bared to You (Crossfire, #1)",author_sylvia_day,decade_2010s
218,219,11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",author_cs_lewis author_pauline_baynes,decade_1950s
219,220,3609760,Twilight: The Complete Illustrated Movie Companion,author_mark_cotta_vaz,decade_2000s
220,221,60748,"A Child Called ""It"" (Dave Pelzer #1)",author_dave_pelzer,decade_1990s
221,222,7869,"The Bourne Identity (Jason Bourne, #1)",author_robert_ludlum,decade_1980s
222,223,249747,"Artemis Fowl (Artemis Fowl, #1)",author_eoin_colfer,decade_2000s
223,224,6487308,"Fallen (Fallen, #1)",author_lauren_kate,decade_2000s
224,225,4406,East of Eden,author_john_steinbeck,decade_1950s
225,226,5886881,Dark Places,author_gillian_flynn,decade_2000s
226,227,5359,The Client,author_john_grisham,decade_1990s
227,228,228333,"The Nanny Diaries (Nanny, #1)",author_emma_mclaughlin author_nicola_kraus,decade_2000s
228,229,24213,Alice's Adventures in Wonderland & Through the Looking-Glass,author_lewis_carroll author_john_tenniel author_martin_gardner,decade_1860s
229,230,2156,Persuasion,author_jane_austen author_james_kinsley author_deidre_shauna_lynch,decade_1810s
230,231,556602,Sarah's Key,author_tatiana_de_rosnay,decade_2000s
231,232,43615,"The Gunslinger (The Dark Tower, #1)",author_stephen_king,decade_1980s
232,233,9712,Love in the Time of Cholera,author_gabriel_garca_mrquez author_edith_grossman,decade_1980s
233,234,439288,Speak,author_laurie_halse_anderson,decade_1990s
234,235,17802724,The Husband's Secret,author_liane_moriarty,decade_2010s
235,236,1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,author_jon_krakauer,decade_1990s
237,238,242006,Running with Scissors,author_augusten_burroughs,decade_2000s
238,239,8908,World War Z: An Oral History of the Zombie War,author_max_brooks,decade_2000s
239,240,17212231,"Inferno (Robert Langdon, #4)",author_dan_brown,decade_2010s
240,241,47281,Number the Stars,author_lois_lowry,decade_1980s
241,242,13145,"Along Came a Spider (Alex Cross, #1)",author_james_patterson,decade_1990s
242,243,10614,Misery,author_stephen_king,decade_1980s
243,244,66559,Sharp Objects,author_gillian_flynn,decade_2000s
244,245,2839,Bridge to Terabithia,author_katherine_paterson,decade_1970s
245,246,30183,"Marked (House of Night, #1)",author_pc_cast author_kristin_cast,decade_2000s
246,247,36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,author_stephen_r_covey,decade_1980s
247,248,1622,A Midsummer Night's Dream,author_william_shakespeare author_barbara_a_mowat author_paul_werstine author_catherine_belsey,decade_1590s
248,249,4588,Extremely Loud and Incredibly Close,author_jonathan_safran_foer,decade_2000s
249,250,11387515,Wonder,author_rj_palacio,decade_2010s
250,251,233093,The Cat in the Hat,author_dr_seuss,decade_1950s
251,252,11235712,"Cinder (The Lunar Chronicles, #1)",author_marissa_meyer,decade_2010s
252,253,16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",author_robert_galbraith author_jk_rowling,decade_2010s
253,254,6068551,"Shiver (The Wolves of Mercy Falls, #1)",author_maggie_stiefvater,decade_2000s
254,255,662,Atlas Shrugged,author_ayn_rand author_leonard_peikoff,decade_1950s
255,256,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,author_greg_mortenson author_david_oliver_relin,decade_2000s
256,257,13023,Alice in Wonderland,author_jane_carruth author_lewis_carroll author_rene_cloke,decade_1860s
257,258,1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",author_carlos_ruiz_zafn author_lucia_graves,decade_2000s
258,259,7631105,"The Scorch Trials (Maze Runner, #2)",author_james_dashner,decade_2010s
259,260,4865,How to Win Friends and Influence People,author_dale_carnegie,decade_1930s
260,261,480479,Under the Tuscan Sun,author_frances_mayes,decade_1990s
261,262,19486412,Big Little Lies,author_liane_moriarty,decade_2010s
262,263,24337,Ella Enchanted,author_gail_carson_levine,decade_1990s
263,264,3876,The Sun Also Rises,author_ernest_hemingway,decade_1920s
264,265,14891,A Tree Grows in Brooklyn,author_betty__smith,decade_1940s
265,266,13148,"Kiss the Girls (Alex Cross, #2)",author_james_patterson,decade_1990s
266,267,21853621,The Nightingale,author_kristin_hannah,decade_2010s
267,268,6334,Never Let Me Go,author_kazuo_ishiguro,decade_2000s
268,269,366522,P.S. I Love You,author_cecelia_ahern,decade_2000s
269,270,12873,Rebecca,author_daphne_du_maurier author_sally_beauman,decade_1930s
270,271,18373,Flowers for Algernon,author_daniel_keyes,decade_1960s
271,272,6952,Like Water for Chocolate,author_laura_esquivel author_thomas__christensen author_carol_christensen,decade_1980s
272,273,1103,Snow Flower and the Secret Fan,author_lisa_see,decade_2000s
273,274,22034,The Godfather,author_mario_puzo author_robert_thompson author_peter_bart,decade_1960s
274,275,49750,An Abundance of Katherines,author_john_green,decade_2000s
275,276,29579,Foundation (Foundation #1),author_isaac_asimov,decade_1950s
276,277,15783514,The Ocean at the End of the Lane,author_neil_gaiman,decade_2010s
277,278,30118,A Light in the Attic,author_shel_silverstein,decade_1980s
278,279,29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",author_john_tiffany author_jack_thorne author_jk_rowling,decade_2010s
279,280,11614718,"Delirium (Delirium, #1)",author_lauren_oliver,decade_2010s
280,281,32499,The Pelican Brief,author_john_grisham,decade_1990s
281,282,17061,Coraline,author_neil_gaiman,decade_2000s
282,283,12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",author_terry_pratchett author_neil_gaiman,decade_1990s
283,284,70401,On the Road,author_jack_kerouac,decade_1950s
284,285,16181775,"The Rosie Project (Don Tillman, #1)",author_graeme_simsion,decade_2010s
285,286,3063499,The Lucky One,author_nicholas_sparks,decade_2000s
286,287,2122,The Fountainhead,author_ayn_rand author_leonard_peikoff,decade_1940s
288,289,76620,"Watership Down (Watership Down, #1)",author_richard_adams,decade_1970s
289,290,10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),author_mindy_kaling,decade_2010s
290,291,3591262,Cutting for Stone,author_abraham_verghese,decade_2000s
291,292,140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",author_cs_lewis author_pauline_baynes,decade_1950s
292,293,295,Treasure Island,author_robert_louis_stevenson,decade_1880s
293,294,9520360,"The Son of Neptune (The Heroes of Olympus, #2)",author_rick_riordan,decade_2010s
294,295,10644930,11/22/63,author_stephen_king,decade_2010s
295,296,4948,The Very Hungry Caterpillar Board Book,author_eric_carle,decade_1960s
296,297,135479,Cat's Cradle,author_kurt_vonnegut_jr,decade_1960s
297,298,2493,The Time Machine,author_hg_wells author_greg_bear author_carlo_pagetti,decade_1890s
298,299,7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,author_todd_burpo author_lynn_vincent,decade_2010s
299,300,39999,The Boy in the Striped Pajamas,author_john_boyne,decade_2000s
300,301,4900,Heart of Darkness,author_joseph_conrad,decade_1890s
301,302,7812659,Safe Haven,author_nicholas_sparks,decade_2010s
302,303,52529,"The Secret (The Secret, #1)",author_rhonda_byrne,decade_2000s
303,304,227711,I Know This Much Is True,author_wally_lamb,decade_1990s
304,305,10583,Pet Sematary,author_stephen_king,decade_1980s
305,306,5203,She's Come Undone,author_wally_lamb,decade_1990s
306,307,1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",author_patrick_rothfuss,decade_2010s
307,308,33724,Can You Keep a Secret?,author_sophie_kinsella,decade_2000s
308,309,6752378,"City of Fallen Angels (The Mortal Instruments, #4)",author_cassandra_clare,decade_2010s
309,310,14748,"Good in Bed (Cannie Shapiro, #1)",author_jennifer_weiner,decade_2000s
310,311,3412,The Thorn Birds,author_colleen_mccullough,decade_1970s
311,312,2213661,The Graveyard Book,author_neil_gaiman author_dave_mckean,decade_2000s
312,313,13158800,The Light Between Oceans,author_ml_stedman,decade_2010s
313,314,28194,"Inkheart (Inkworld, #1)",author_cornelia_funke author_anthea_bell,decade_2000s
314,315,4894,Who Moved My Cheese?,author_spencer_johnson author_kenneth_h_blanchard,decade_1990s
315,316,9791,A Walk in the Woods,author_bill_bryson,decade_1990s
316,317,13214,I Know Why the Caged Bird Sings,author_maya_angelou,decade_1960s
317,318,15818107,Orphan Train,author_christina_baker_kline,decade_2010s
318,319,8755776,"City of Lost Souls (The Mortal Instruments, #5)",author_cassandra_clare,decade_2010s
319,320,13526165,"Where'd You Go, Bernadette",author_maria_semple,decade_2010s
321,322,14497,Neverwhere,author_neil_gaiman,decade_1990s
322,323,9717,The Unbearable Lightness of Being,author_milan_kundera author_michael_henry_heim,decade_1980s
323,324,16068905,Fangirl,author_rainbow_rowell,decade_2010s
324,325,4473,A Prayer for Owen Meany,author_john_irving,decade_1980s
325,326,32234,White Oleander,author_janet_fitch,decade_1990s
326,327,9275658,"Legend (Legend, #1)",author_marie_lu,decade_2010s
327,328,14866,Nineteen Minutes,author_jodi_picoult,decade_2000s
328,329,2318271,The Last Lecture,author_randy_pausch author_jeffrey_zaslow,decade_2000s
329,330,228665,"The Eye of the World (Wheel of Time, #1)",author_robert_jordan,decade_1990s
330,331,10916,The Pact,author_jodi_picoult,decade_1990s
331,332,65605,"The Magician's Nephew (Chronicles of Narnia, #6)",author_cs_lewis,decade_1950s
332,333,2153405,Still Alice,author_lisa_genova,decade_2000s
333,334,13596809,"Reflected in You (Crossfire, #2)",author_sylvia_day,decade_2010s
334,335,6689,James and the Giant Peach,author_roald_dahl author_quentin_blake,decade_1960s
335,336,13137,"1st to Die (Women's Murder Club, #1)",author_james_patterson,decade_2000s
336,337,13,The Ultimate Hitchhiker's Guide to the Galaxy,author_douglas_adams,decade_1990s
337,338,6280118,One Day,author_david_nicholls,decade_2000s
338,339,32929,Goodnight Moon,author_margaret_wise_brown author_clement_hurd,decade_1940s
