,id,book_id,title,authors,decade_year,tag_name,tag_length
14,15,48855,The Diary of a Young Girl,author_anne_frank author_eleanor_roosevelt author_bm_mooyaartdoubleday,decade_1940s,"non_fiction, classic, history, biography, nonfiction, memoir, young_adult, classic, historical, holocaust",105
15,16,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",author_stieg_larsson author_reg_keeland,decade_2000s,"fiction, mystery, thriller, crime, series, suspense, mystery_thriller, contemporary, adult, adult_fiction",105
16,17,6148028,"Catching Fire (The Hunger Games, #2)",author_suzanne_collins,decade_2000s,"young_adult, dystopia, fantasy, sci, series, romance, adventure, hunger_game, teen, post_apocalyptic",100
17,18,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",author_jk_rowling author_mary_grandpr author_rufus_beck,decade_1990s,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, adventure, child, rowling",96
18,19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",author_jrr_tolkien,decade_1950s,"fantasy, classic, fiction, classic, adventure, series, sci_fantasy, tolkien, epic_fantasy, high_fantasy",103
19,20,7260188,"Mockingjay (The Hunger Games, #3)",author_suzanne_collins,decade_2010s,"young_adult, dystopian, fiction, dystopia, fantasy, science_fiction, sci, series, romance, adventure",100
20,21,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",author_jk_rowling author_mary_grandpr,decade_2000s,"fantasy, child, child, all_time, fiction, young_adult, novel, kid, fantasy_sci, harry_potter",92
21,22,12232938,The Lovely Bones,author_alice_sebold,decade_2000s,"fiction, mystery, young_adult, contemporary, fantasy, crime, adult_fiction, adult, contemporary_fiction, drama",110
22,23,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",author_jk_rowling author_mary_grandpr,decade_1990s,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, child, adventure, child",94
23,24,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",author_jk_rowling author_mary_grandpr,decade_2000s,"fantasy, young_adult, fiction, harry_potter, series, childrens, adventure, child, rowling, child",96
24,25,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",author_jk_rowling author_mary_grandpr,decade_2000s,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, adventure, child, rowling",96
25,26,968,"The Da Vinci Code (Robert Langdon, #2)",author_dan_brown,decade_2000s,"fiction, thriller, dan_brown, suspense, historical_fiction, adventure, mystery_thriller, novel, series, adult",109
26,27,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",author_jk_rowling author_mary_grandpr,decade_2000s,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, adventure, child, rowling",96
27,28,7624,Lord of the Flies,author_william_golding,decade_1950s,"classic, fiction, classic, young_adult, school, literature, dystopia, dystopian, novel, adventure",97
28,29,18135,Romeo and Juliet,author_william_shakespeare author_robert___________jackson,decade_1590s,"classic, play, fiction, romance, classic, shakespeare, school, drama, play, literature",86
29,30,8442457,Gone Girl,author_gillian_flynn,decade_2010s,"mystery, crime, fiction, contemporary, thriller, buy, suspense, psychological_thriller, mystery_thriller, audible",113
30,31,4667024,The Help,author_kathryn_stockett,decade_2000s,"fiction, historical_fiction, historical, adult, adult_fiction, chick_lit, contemporary, drama, civil_right, novel",113
31,32,890,Of Mice and Men,author_john_steinbeck,decade_1930s,"classic, fiction, classic, school, literature, historical_fiction, novel, american, american_literature, classic",112
32,33,930,Memoirs of a Geisha,author_arthur_golden,decade_1990s,"fiction, historical_fiction, romance, historical, japan, classic, adult, contemporary, novel, adult_fiction",107
33,34,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",author_el_james,decade_2010s,"romance, fifty_shade, fiction, abandoned, new_adult, fifty_shade_grey, erotica, alpha_male, love, finished",106
34,35,865,The Alchemist,author_paulo_coelho author_alan_r_clarke,decade_1980s,"fiction, classic, fantasy, philosophy, novel, spirituality, paulo_coelho, inspirational, literature, novel",106
35,36,3636,"The Giver (The Giver, #1)",author_lois_lowry,decade_1990s,"child, fiction, classic, teen, for_school, dystopian, middle_school, childhood, science_fiction, dystopia",105
36,37,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",author_cs_lewis,decade_1950s,"fantasy, classic, fiction, young_adult, childrens, child, series, child, classic, childhood",91
37,38,14050,The Time Traveler's Wife,author_audrey_niffenegger,decade_2000s,"fiction, romance, fantasy, time_travel, sci, contemporary, chick_lit, adult, adult_fiction, contemporary_fiction",112
38,39,13496,"A Game of Thrones (A Song of Ice and Fire, #1)",author_george_rr_martin,decade_1990s,"fiction, epic_fantasy, fantasy, sci_fantasy, adult, high_fantasy, adventure, song_ice_and_fire, dragon, fantasy_sci",115
39,40,19501,"Eat, Pray, Love",author_elizabeth_gilbert,decade_2000s,"non_fiction, memoir, travel, nonfiction, fiction, memoir, biography, chick_lit, spirituality, romance",101
40,41,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",author_rick_riordan,decade_2000s,"fantasy, young_adult, mythology, fiction, series, adventure, percy_jackson, rick_riordan, middle_grade, childrens",113
41,42,1934,"Little Women (Little Women, #1)",author_louisa_may_alcott,decade_1860s,"classic, fiction, classic, young_adult, historical_fiction, romance, historical, literature, childrens, childhood",113
42,43,10210,Jane Eyre,author_charlotte_bront author_michael_mason,decade_1840s,"classic, literature, gothic, historical, century, novel, british, all_time, victorian, historical_romance",105
43,44,15931,"The Notebook (The Notebook, #1)",author_nicholas_sparks,decade_1990s,"fiction, nicholas_spark, chick_lit, romance, contemporary, adult, adult_fiction, contemporary_romance, love, drama",114
44,46,43641,Water for Elephants,author_sara_gruen,decade_2000s,"fiction, historical_fiction, romance, contemporary_fiction, circus, audio, historical, shelfari, literary_fiction, all_time",123
45,47,19063,The Book Thief,author_markus_zusak,decade_2000s,"historical_fiction, fiction, young_adult, historical, war, holocaust, classic, wwii, history, favourtes",103
46,49,49041,"New Moon (Twilight, #2)",author_stephenie_meyer,decade_2000s,"young_adult, fantasy, romance, vampire, fiction, paranormal, series, vampire, twilight, paranormal_romance",106
47,50,30119,Where the Sidewalk Ends,author_shel_silverstein,decade_1970s,"poetry, childrens, child, classic, child, fiction, childhood, kid, humor, young_adult",85
48,51,256683,"City of Bones (The Mortal Instruments, #1)",author_cassandra_clare,decade_2000s,"young_adult, paranormal, romance, urban_fantasy, series, fiction, vampire, cassandra_clare, supernatural, angel",111
49,52,428263,"Eclipse (Twilight, #3)",author_stephenie_meyer,decade_2000s,"young_adult, fantasy, romance, vampire, fiction, paranormal, series, vampire, twilight, paranormal_romance",106
50,53,113436,"Eragon (The Inheritance Cycle, #1)",author_christopher_paolini,decade_2000s,"fantasy, young_adult, fiction, dragon, series, adventure, magic, high_fantasy, sci_fantasy, teen",96
51,54,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",author_douglas_adams,decade_1970s,"science_fiction, sci, fiction, humor, fantasy, classic, scifi, comedy, humour, sci_fantasy",90
52,55,5129,Brave New World,author_aldous_huxley,decade_1930s,"classic, fiction, science_fiction, sci, dystopia, dystopian, classic, classic, literature, scifi",96
53,56,1162543,"Breaking Dawn (Twilight, #4)",author_stephenie_meyer,decade_2000s,"fantasy, young_adult, sci_fantasy, contemporary, romance, shelfari, fantasy_sci, star, finished_series, fiction",111
54,57,37435,The Secret Life of Bees,author_sue_monk_kidd,decade_2000s,"fiction, historical_fiction, young_adult, adult_fiction, classic, chick_lit, adult, contemporary, coming_age, historical",120
55,58,2956,The Adventures of Huckleberry Finn,author_mark_twain author_john_seelye author_guy_cardwell,decade_1880s,"classic, fiction, classic, historical_fiction, literature, young_adult, adventure, school, novel, american_literature",117
56,59,24178,Charlotte's Web,author_eb_white author_garth_williams author_rosemary_wells,decade_1950s,"classic, childrens, fiction, child, child, childhood, kid, young_adult, fantasy, classic",88
57,60,1618,The Curious Incident of the Dog in the Night-Time,author_mark_haddon,decade_2000s,"fiction, young_adult, classic, audio, mystery, contemporary, novel, classic, english, home",90
58,61,22557272,The Girl on the Train,author_paula_hawkins,decade_2010s,"mystery, fiction, thriller, crime, suspense, mystery_thriller, contemporary, adult, adult_fiction, audio",104
59,62,119322,"The Golden Compass (His Dark Materials, #1)",author_philip_pullman,decade_1990s,"fantasy, young_adult, fiction, series, childrens, adventure, science_fiction, steampunk, child, sci_fantasy",107
60,63,6185,Wuthering Heights,author_emily_bront author_richard_j_dunn,decade_1840s,"classic, fiction, classic, romance, literature, gothic, historical_fiction, classic, century, classic_literature",112
61,64,10917,My Sister's Keeper,author_jodi_picoult,decade_2000s,"fiction, jodi_picoult, contemporary, chick_lit, drama, young_adult, adult, adult_fiction, realistic_fiction, contemporary_fiction",129
62,65,4981,Slaughterhouse-Five,author_kurt_vonnegut_jr,decade_1960s,"classic, fiction, science_fiction, sci, classic, war, literature, historical_fiction, novel, time_travel",104
63,66,18405,Gone with the Wind,author_margaret_mitchell,decade_1930s,"classic, historical_fiction, fiction, romance, classic, historical, literature, war, historical_romance, civil_war",114
64,67,128029,A Thousand Splendid Suns,author_khaled_hosseini,decade_2000s,"fiction, historical_fiction, afghanistan, contemporary, middle_east, novel, adult_fiction, historical, adult, contemporary_fiction",130
65,68,22628,The Perks of Being a Wallflower,author_stephen_chbosky,decade_1990s,"fiction, contemporary, coming_age, realistic_fiction, classic, buy, teen, lgbt, all_time, novel",95
66,69,11735983,"Insurgent (Divergent, #2)",author_veronica_roth,decade_2010s,"young_adult, dystopian, dystopia, fiction, fantasy, science_fiction, series, romance, sci, divergent",100
67,70,375802,"Ender's Game (Ender's Saga, #1)",author_orson_scott_card,decade_1980s,"science_fiction, sci, fiction, young_adult, fantasy, scifi, classic, sci_fantasy, series, dystopian",99
68,71,18490,Frankenstein,author_mary_wollstonecraft_shelley author_percy_bysshe_shelley author_maurice_hindle,decade_1810s,"classic, fiction, horror, sci, gothic, fantasy, literature, school, novel, century",82
69,72,11588,The Shining (The Shining #1),author_stephen_king,decade_1970s,"fiction, fantasy, king, mystery, supernatural, suspense, adult, buy, novel, series",82
70,73,1656001,"The Host (The Host, #1)",author_stephenie_meyer,decade_2000s,"sci, science_fiction, fiction, dystopian, dystopia, paranormal, alien, series, stephenie_meyer, adult",101
71,74,99561,Looking for Alaska,author_john_green,decade_2000s,"young_adult, fiction, contemporary, romance, john_green, realistic_fiction, coming_age, teen, fiction, buy",106
72,75,227443,"Bridget Jones's Diary (Bridget Jones, #1)",author_helen_fielding,decade_1990s,"chick_lit, fiction, romance, humor, contemporary, chicklit, series, humour, funny, adult",88
73,76,14935,Sense and Sensibility,author_jane_austen author_tony_tanner author_ros_ballaster,decade_1810s,"fiction, historical_fiction, literature, classic_literature, century, british, novel, historical_romance, austen, british_literature",132
74,77,38709,"Holes (Holes, #1)",author_louis_sachar author_louis_sachar,decade_1990s,"young_adult, fiction, childrens, childhood, realistic_fiction, child, child, middle_grade, adventure, mystery",109
75,78,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",author_lauren_weisberger,decade_2000s,"chick_lit, fiction, contemporary, chicklit, romance, adult, humor, chic_lit, adult_fiction, fashion",99
76,79,1381,The Odyssey,author_homer author_robert_fagles author_ev_rieu author_frdric_mugler author_bernard_knox,decade_0s,"classic, fiction, poetry, classic, mythology, fantasy, school, literature, adventure, history",93
77,80,157993,The Little Prince,author_antoine_de_saintexupry author_richard_howard author_dom_marcos_barbosa author_melina_karakosta,decade_1940s,"fantasy, childrens, child, classic, french, child, young_adult, philosophy, childhood, literature",97
78,81,7445,The Glass Castle,author_jeannette_walls,decade_2000s,"non_fiction, memoir, nonfiction, memoir, biography, fiction, autobiography, biography_memoir, adult, memoir_biography",117
79,82,1845,Into the Wild,author_jon_krakauer,decade_1990s,"non_fiction, nonfiction, biography, adventure, travel, classic, memoir, fiction, nature, survival",97
80,83,1953,A Tale of Two Cities,author_charles_dickens author_richard_maxwell author_hablot_knight_browne,decade_1850s,"classic, fiction, classic, historical_fiction, literature, historical, school, novel, classic_literature, british",113
81,85,370493,The Giving Tree,author_shel_silverstein,decade_1960s,"childrens, child, child, classic, fiction, poetry, kid, childhood, childhood, classic",85
82,86,32542,A Time to Kill,author_john_grisham,decade_1980s,"fiction, mystery, thriller, john_grisham, crime, suspense, legal_thriller, grisham, mystery_thriller, legal",107
83,87,1617,Night (The Night Trilogy #1),author_elie_wiesel author_marion_wiesel,decade_1950s,"non_fiction, classic, history, nonfiction, school, historical, memoir, fiction, wwii, historical_fiction",104
84,88,6442769,Paper Towns,author_john_green,decade_2000s,"young_adult, john_green, contemporary, fiction, adventure, buy, friendship, high_school, young_adult_fiction, road_trip",119
85,89,21787,The Princess Bride ,author_william_goldman,decade_1970s,"buy, sci_fantasy, all_time, adult_fiction, fairy_tale, wish_list, historical_fiction, childrens, literature, fairytale",118
86,90,231804,The Outsiders,author_se_hinton,decade_1960s,"fiction, classic, school, classic, realistic_fiction, coming_age, historical_fiction, young_adult, for_school, teen",115
87,91,6186357,"The Maze Runner (Maze Runner, #1)",author_james_dashner,decade_2000s,"young_adult, dystopian, dystopia, science_fiction, sci, fiction, fantasy, series, adventure, post_apocalyptic",109
88,92,1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",author_steven_d_levitt author_stephen_j_dubner,decade_2000s,"nonfiction, science, non_fiction, psychology, sociology, economics, politics, finance, audio, social_science",108
89,93,2998,The Secret Garden,author_frances_hodgson_burnett,decade_1910s,"classic, fiction, childrens, classic, child, young_adult, child, childhood, historical_fiction, kid",99
90,94,320,One Hundred Years of Solitude,author_gabriel_garca_mrquez author_gregory_rabassa,decade_1960s,"classic, literature, classic, novel, latin_america, novel, spanish, buy, abandoned, magic_realism",97
91,95,5297,The Picture of Dorian Gray,author_oscar_wilde author_jeffrey_eugenides,decade_1890s,"classic, fiction, classic, horror, fantasy, literature, gothic, novel, century, classic_literature",98
92,96,13536860,"Fifty Shades Freed (Fifty Shades, #3)",author_el_james,decade_2010s,"erotica, fiction, series, bdsm, adult, contemporary, chick_lit, erotic, contemporary_romance, erotic_romance",108
93,97,17245,Dracula,author_bram_stoker author_nina_auerbach author_david_j_skal,decade_1890s,"classic, horror, fiction, fantasy, classic, vampire, gothic, paranormal, literature, vampire",92
94,98,5060378,"The Girl Who Played with Fire (Millennium, #2)",author_stieg_larsson author_reg_keeland,decade_2000s,"fiction, mystery, crime, suspense, mystery_thriller, thriller, contemporary, adult, sweden, stieg_larsson",105
95,99,11857408,"Fifty Shades Darker (Fifty Shades, #2)",author_el_james,decade_2010s,"romance, guilty_pleasure, favs, billionaire, erotica, part_series, dark, fiction, fifty, romantic",97
96,100,7244,The Poisonwood Bible,author_barbara_kingsolver,decade_1990s,"historical_fiction, fiction, classic, literature, novel, africa, historical, religion, literary_fiction, adult_fiction",118
97,101,4137,Me Talk Pretty One Day,author_david_sedaris,decade_2000s,"humor, non_fiction, memoir, nonfiction, essay, short_story, memoir, fiction, comedy, funny",90
98,102,19543,Where the Wild Things Are,author_maurice_sendak,decade_1960s,"childrens, child, child, fiction, classic, fantasy, kid, childhood, childhood, classic",86
99,103,7126,The Count of Monte Cristo,author_alexandre_dumas author_robin_buss,decade_1840s,"classic, fiction, classic, historical_fiction, adventure, french, historical, classic, france, classic_literature",113
100,104,6288,The Road,author_cormac_mccarthy,decade_2000s,"science_fiction, dystopia, dystopian, fiction, sci, horror, classic, literature, pulitzer, novel",96
101,105,18710190,"Allegiant (Divergent, #3)",author_veronica_roth,decade_2010s,"young_adult, dystopian, dystopia, fiction, science_fiction, series, fantasy, romance, sci, divergent",100
102,106,9418327,Bossypants,author_tina_fey,decade_2010s,"non_fiction, humor, memoir, nonfiction, biography, memoir, comedy, audio, autobiography, funny",94
103,107,3473,A Walk to Remember,author_nicholas_sparks,decade_1990s,"adult, drama, adult_fiction, love, realistic_fiction, romance, spark, love_story, love_story, stand_alone",105
104,108,9416,"Confessions of a Shopaholic (Shopaholic, #1)",author_sophie_kinsella,decade_2000s,"sophie_kinsella, chic_lit, funny, adult_fiction, contemporary_romance, comedy, chick_lit, humour, guilty_pleasure, fluff",120
105,109,24280,Les Misérables,author_victor_hugo author_lee_fahnestock author_norman_macafee,decade_1860s,"classic, fiction, historical_fiction, classic, literature, french, historical, france, novel, french_literature",111
106,110,10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",author_george_rr_martin,decade_1990s,"fantasy, fiction, series, epic_fantasy, sci_fantasy, song_ice_and_fire, high_fantasy, adult, adventure, dragon",110
107,111,10441,The Memory Keeper's Daughter,author_kim_edwards,decade_2000s,"fiction, contemporary, adult_fiction, adult, contemporary_fiction, historical_fiction, drama, chick_lit, general_fiction, novel",127
108,112,15507958,"Me Before You (Me Before You, #1)",author_jojo_moyes,decade_2010s,"romance, fiction, buy, audio, love, contemporary, all_time, general_fiction, jojo_moyes, british",96
109,113,168668,Catch-22,author_joseph_heller,decade_1960s,"classic, fiction, classic, war, humor, historical_fiction, literature, novel, satire, abandoned",95
110,114,6900,Tuesdays with Morrie,author_mitch_albom author_saulius_dagys,decade_1990s,"non_fiction, fiction, nonfiction, memoir, biography, inspirational, classic, philosophy, mitch_albom, memoir",108
111,115,2187,Middlesex,author_jeffrey_eugenides,decade_2000s,"fiction, historical_fiction, contemporary, pulitzer, lgbt, contemporary_fiction, literary_fiction, novel, literature, pulitzer_prize",132
112,116,24583,The Adventures of Tom Sawyer,author_mark_twain author_guy_cardwell author_john_seelye,decade_1870s,"classic, fiction, classic, adventure, young_adult, historical_fiction, literature, childrens, child, childhood",110
113,117,18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",author_madeleine_lengle,decade_1960s,"fantasy, young_adult, fiction, classic, science_fiction, sci, childrens, child, child, childhood",96
114,118,7763,The Joy Luck Club,author_amy_tan,decade_1980s,"classic, china, fiction, contemporary, adult_fiction, literature, adult, novel, contemporary_fiction, chick_lit",111
115,119,38447,The Handmaid's Tale,author_margaret_atwood,decade_1980s,"fiction, classic, dystopia, dystopian, science_fiction, sci, feminism, fantasy, classic, literature",99
116,120,452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",author_ann_brashares,decade_2000s,"young_adult, fiction, chick_lit, series, contemporary, romance, teen, realistic_fiction, friendship, childhood",110
117,121,7604,Lolita,author_vladimir_nabokov author_craig_raine,decade_1950s,"literature, fiction, classic, novel, classic, buy, russian_literature, century, literary_fiction, novel",103
118,122,37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",author_gregory_maguire author_douglas_smith,decade_1990s,"series, adult, abandoned, sci_fantasy, adult_fiction, fairy_tale, magic, witch, retellings, did_not_finish",106
119,123,5358,"The Firm (Penguin Readers, Level 5)",author_john_grisham,decade_1990s,"fiction, thriller, mystery, john_grisham, suspense, crime, legal_thriller, grisham, mystery_thriller, legal",107
120,124,7937843,Room,author_emma_donoghue,decade_2010s,"fiction, contemporary, adult, adult_fiction, contemporary_fiction, drama, realistic_fiction, crime, buy, novel",110
121,125,1420,Hamlet,author_william_shakespeare author_richard_andrews author_rex_gibson,decade_1600s,"classic, play, fiction, shakespeare, drama, classic, school, play, literature, theatre",86
122,126,234225,Dune (Dune Chronicles #1),author_frank_herbert,decade_1960s,"science_fiction, sci, fiction, fantasy, classic, scifi, sci_fantasy, series, classic, dune",90
123,127,2612,The Tipping Point: How Little Things Can Make a Big Difference,author_malcolm_gladwell,decade_2000s,"non_fiction, nonfiction, business, psychology, sociology, science, economics, self_help, marketing, philosophy",110
124,128,11084145,Steve Jobs,author_walter_isaacson,decade_2010s,"biography, non_fiction, biography, business, nonfiction, technology, history, bio, biography_memoir, leadership",111
125,129,332613,One Flew Over the Cuckoo's Nest,author_ken_kesey,decade_1960s,"classic, fiction, classic, literature, psychology, novel, buy, school, mental_illness, american",95
126,130,2165,The Old Man and the Sea,author_ernest_hemingway,decade_1950s,"classic, fiction, classic, literature, novel, american_literature, american, school, pulitzer, novel",100
127,131,4395,The Grapes of Wrath,author_john_steinbeck,decade_1930s,"classic, fiction, classic, historical_fiction, literature, school, novel, american, american_literature, historical",115
128,133,8127,"Anne of Green Gables (Anne of Green Gables, #1)",author_lm_montgomery,decade_1900s,"fiction, young_adult, classic, childrens, historical_fiction, child, child, childhood, series, childhood",104
129,134,3777732,"City of Glass (The Mortal Instruments, #3)",author_cassandra_clare,decade_2000s,"fantasy, young_adult, paranormal, urban_fantasy, series, vampire, cassandra_clare, angel, fiction, supernatural",111
130,135,62291,"A Storm of Swords (A Song of Ice and Fire, #3)",author_george_rr_martin,decade_2000s,"fantasy, fiction, series, epic_fantasy, sci_fantasy, song_ice_and_fire, high_fantasy, adult, game_throne, adventure",115
131,136,137791,Divine Secrets of the Ya-Ya Sisterhood,author_rebecca_wells,decade_1990s,"fiction, chick_lit, contemporary, adult_fiction, adult, southern, general_fiction, contemporary_fiction, novel, chicklit",120
132,137,10964,"Outlander (Outlander, #1)",author_diana_gabaldon,decade_1990s,"historical_fiction, romance, fantasy, fiction, time_travel, historical, historical_romance, series, adult, scotland",115
133,138,12296,The Scarlet Letter,author_nathaniel_hawthorne author_thomas_e_connolly author_nina_baym,decade_1850s,"school, literature, high_school, historical, classic_literature, for_school, american_literature, novel, romance, american",122
134,139,9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",author_ransom_riggs,decade_2010s,"fantasy, young_adult, fiction, paranormal, mystery, series, horror, time_travel, historical_fiction, supernatural",113
135,140,6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",author_stieg_larsson author_reg_keeland,decade_2000s,"fiction, mystery, thriller, crime, series, mystery_thriller, suspense, contemporary, stieg_larsson, adult",105
136,141,18007564,The Martian,author_andy_weir,decade_2010s,"sci, adventure, science, adult, thriller, sci_fantasy, audio, audible, survival, humor",86
137,142,5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",author_ken_follett,decade_1980s,"historical_fiction, fiction, historical, history, medieval, series, fantasy, classic, england, ken_follett",106
138,143,18143977,All the Light We Cannot See,author_anthony_doerr,decade_2010s,"historical_fiction, fiction, historical, war, wwii, adult, france, history, adult_fiction, buy",94
139,144,8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",author_laura_hillenbrand,decade_2010s,"non_fiction, history, biography, nonfiction, war, wwii, historical, world_war, military, biography",98
140,145,976,Deception Point,author_dan_brown,decade_2000s,"fiction, thriller, mystery, dan_brown, suspense, adventure, mystery_thriller, thriller, crime, science_fiction",110
141,146,17333223,The Goldfinch,author_donna_tartt,decade_2010s,"fiction, contemporary, literary_fiction, pulitzer, art, contemporary_fiction, abandoned, audio, mystery, novel",110
142,147,1217100,Thirteen Reasons Why,author_jay_asher,decade_2000s,"realistic_fiction, young_adult, suicide, teen, buy, romance, death, fiction, mental_illness, drama",98
143,148,2865,Girl with a Pearl Earring,author_tracy_chevalier,decade_1990s,"historical_fiction, fiction, historical, art, classic, romance, history, adult, adult_fiction, novel",100
144,149,4374400,"If I Stay (If I Stay, #1)",author_gayle_forman,decade_2000s,"young_adult, romance, contemporary, fiction, series, realistic_fiction, teen, death, music, made_cry",100
145,150,4989,The Red Tent,author_anita_diamant,decade_1990s,"historical_fiction, history, fiction, christian, literature, religious, middle_east, jewish, contemporary, feminist",115
146,151,28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",author_rick_riordan,decade_2000s,"fantasy, young_adult, mythology, percy_jackson, fiction, series, rick_riordan, adventure, middle_grade, childrens",113
147,152,5526,Dear John,author_nicholas_sparks,decade_2000s,"romance, nicholas_spark, fiction, chick_lit, contemporary, adult, adult_fiction, love, young_adult, drama",105
148,153,1582996,"City of Ashes (The Mortal Instruments, #2)",author_cassandra_clare,decade_2000s,"fantasy, young_adult, paranormal, romance, urban_fantasy, series, vampire, cassandra_clare, fiction, angel",106
149,154,8852,Macbeth,author_william_shakespeare,decade_1600s,"play, fiction, classic, school, play, literature, theatre, for_school, high_school, poetry",90
150,155,15241,"The Two Towers (The Lord of the Rings, #2)",author_jrr_tolkien,decade_1950s,"fantasy, classic, fiction, adventure, tolkien, classic, series, sci_fantasy, epic_fantasy, high_fantasy",103
151,156,42156,"Something Borrowed (Darcy & Rachel, #1)",author_emily_giffin,decade_2000s,"chick_lit, romance, fiction, contemporary, series, chicklit, chic_lit, adult, emily_giffin, contemporary_romance",112
152,157,23772,Green Eggs and Ham,author_dr_seuss author__,decade_1960s,"childrens, child, child, classic, fiction, kid, childhood, poetry, childhood, classic",85
153,158,6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",author_roald_dahl author_quentin_blake,decade_1960s,"fiction, child, childhood, young_adult, kid, classic, childhood, roald_dahl, middle_grade, humor",96
154,159,2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",author_rick_riordan,decade_2000s,"fantasy, young_adult, mythology, percy_jackson, rick_riordan, fiction, series, adventure, middle_grade, childrens",113
155,160,2623,Great Expectations,author_charles_dickens,decade_1860s,"classic, fiction, classic, literature, historical_fiction, school, classic_literature, novel, century, british",110
156,161,18512,"The Return of the King (The Lord of the Rings, #3)",author_jrr_tolkien,decade_1950s,"fantasy, fiction, classic, tolkien, adventure, classic, series, sci_fantasy, epic_fantasy, high_fantasy",103
157,162,49552,The Stranger,author_albert_camus author_matthew____ward,decade_1940s,"classic, fiction, philosophy, french, literature, classic, novel, french_literature, school, existentialism",107
